DateTime,Entries,UniqueIPs
1605911676,10161,10161
1605914726,10160,10160
1605916231,10165,10165
1605918001,10167,10167
1605919731,10172,10172
1605920871,10162,10162
1605922477,10157,10157
1605925289,10138,10138
1605927031,10089,10089
1605929688,9967,9967
1605932083,9963,9963
1605933280,9960,9960
1605936876,9963,9963
1605938669,9968,9968
1605940476,9963,9963
1605943508,7967,7967
1605944070,9970,9970
1605946956,9889,9889
1605947683,9869,9869
1605949174,9877,9877
1605950729,9881,9881
1605951264,9876,9876
1605953775,9880,9880
1605955809,7967,7967
1605957153,9871,9871
1605958269,7967,7967
1605961420,9856,9856
1605963028,9848,9848
1605965649,7967,7967
1605968691,9807,9807
1605970570,7967,7967
1605972328,9757,9757
1605972874,9749,9749
1605974382,9756,9756
1605975535,9758,9758
1605976483,9757,9757
1605979527,9769,9769
1605980084,9762,9762
1605982577,9766,9766
1605983676,9762,9762
1605985905,9745,9745
1605987267,9730,9730
1605988649,9739,9739
1605990101,9751,9751
1605990866,7967,7967
1605993940,9756,9756
1605995426,9756,9756
1605998082,9754,9754
1605999774,9766,9766
1606001679,9754,9754
1606002855,9755,9755
1606003966,9749,9749
1606005271,9744,9744
1606006637,9758,9758
1606007830,9750,9750
1606008878,9748,9748
1606011932,9749,9749
1606013433,9740,9740
1606015527,9731,9731
1606017000,9722,9722
1606019683,9709,9709
1606022735,9707,9707
1606023919,9711,9711
1606026881,9710,9710
1606028179,9710,9710
1606029357,9706,9706
1606031422,9710,9710
1606032972,9706,9706
1606034079,9691,9691
1606035485,9699,9699
1606037137,9696,9696
1606037669,9689,9689
1606040730,9702,9702
1606042074,9702,9702
1606044868,9672,9672
1606046258,9675,9675
1606047651,9667,9667
1606049446,9655,9655
1606050735,9633,9633
1606052076,9623,9623
1606058731,9614,9614
1606059269,9585,9585
1606060392,9591,9591
1606062333,9580,9580
1606063703,9565,9565
1606064877,9559,9559
1606066471,9562,9562
1606068184,9560,9560
1606070078,9556,9556
1606073667,9552,9552
1606075156,9547,9547
1606076739,9694,9694
1606077276,9753,9753
1606078769,9961,9961
1606080331,9963,9963
1606080885,9952,9952
1606083928,10002,10002
1606085433,10024,10024
1606086760,10017,10017
1606088079,9998,9998
1606089445,9985,9985
1606091133,10046,10046
1606091673,10072,10072
1606093183,10072,10072
1606094731,10075,10075
1606095271,10062,10062
1606098892,10044,10044
1606100980,10036,10036
1606102478,10033,10033
