DateTime,Entries,UniqueIPs
1605895427,2148,2148
1605897281,2142,2142
1605898591,2148,2148
1605900345,2156,2156
1605900884,2151,2151
1605903505,2153,2153
1605904481,2151,2151
1605906296,2143,2143
1605908082,2138,2138
1605909609,2144,2144
1605910773,2149,2149
1605911691,2137,2137
1605914746,2135,2135
1605916248,2140,2140
1605918024,2142,2142
1605919746,2147,2147
1605920885,2136,2136
1605922494,2131,2131
1605925306,2112,2112
1605927050,2063,2063
1605929707,1941,1941
1605932104,1937,1937
1605933299,1934,1934
1605936893,1944,1944
1605938684,1947,1947
1605940490,1944,1944
1605943534,1961,1961
1605944087,1950,1950
1605946970,1871,1871
1605947697,1851,1851
1605949211,1862,1862
1605950746,1866,1866
1605951280,1863,1863
1605953832,1869,1869
1605955834,1877,1877
1605957168,1861,1861
1605958318,1857,1857
1605961434,1846,1846
1605963047,1838,1838
1605965670,1815,1815
1605968706,1800,1800
1605970593,1759,1759
1605972349,1749,1749
1605972887,1741,1741
1605974402,1748,1748
1605975551,1750,1750
1605976501,1748,1748
1605979544,1756,1756
1605980100,1750,1750
1605982642,1755,1755
1605983690,1751,1751
1605985919,1735,1735
1605987282,1720,1720
1605988666,1729,1729
1605990117,1741,1741
1605990882,1739,1739
1605993957,1745,1745
1605995444,1746,1746
1605998097,1746,1746
1605999810,1759,1759
1606001695,1747,1747
1606002896,1747,1747
1606004714,1745,1745
1606005286,1736,1736
1606006667,1750,1750
1606007852,1742,1742
1606008894,1740,1740
1606011954,1742,1742
1606013451,1734,1734
1606015547,1723,1723
1606017029,1714,1714
1606019706,1703,1703
1606022754,1699,1699
1606023944,1702,1702
1606026896,1699,1699
1606028199,1699,1699
1606029377,1695,1695
1606031441,1699,1699
1606033043,1699,1699
1606034096,1681,1681
1606035551,1676,1676
1606037153,1684,1684
1606037685,1677,1677
1606040747,1691,1691
1606042113,1691,1691
1606044884,1672,1672
1606046275,1674,1674
1606047668,1666,1666
1606049462,1654,1654
1606050753,1631,1631
1606052091,1621,1621
1606058748,1615,1615
1606059285,1585,1585
1606060407,1591,1591
1606062347,1580,1580
1606063718,1565,1565
1606064894,1559,1559
1606066486,1563,1563
1606068224,1561,1561
1606070093,1558,1558
1606073682,1552,1552
1606075182,1547,1547
1606076753,1695,1695
1606077292,1753,1753
1606078796,1960,1960
1606080351,1962,1962
1606080909,1953,1953
1606083943,2003,2003
1606085450,2026,2026
1606086778,2018,2018
1606089477,1986,1986
1606091149,2049,2049
1606091689,2071,2071
1606093197,2073,2073
1606094747,2074,2074
1606095289,2061,2061
1606098924,2044,2044
1606100995,2036,2036
1606102495,2033,2033
1606106107,2020,2020
1606109170,2005,2005
1606110478,1998,1998
1606111635,1953,1953
1606112814,1958,1958
1606114209,1957,1957
1606116899,1956,1956
1606118031,1965,1965
1606119247,1954,1954
1606120931,1958,1958
1606122270,1955,1955
1606124100,1958,1958
1606126069,1957,1957
1606127437,1950,1950
1606128613,1960,1960
1606130195,1954,1954
1606131291,1948,1948
1606132807,1948,1948
1606134045,1956,1956
1606134889,1951,1951
1606136795,1944,1944
1606137945,1951,1951
1606139449,1941,1941
1606142098,1913,1913
1606144982,1914,1914
1606145707,1913,1913
1606146865,1922,1922
1606148774,1912,1912
1606149870,1911,1911
1606152888,1925,1925
1606154066,1938,1938
1606155608,1937,1937
1606156480,1937,1937
1606159033,1935,1935
1606160089,1920,1920
1606163681,2031,2031
1606165472,2191,2191
1606167306,2174,2174
1606170339,2160,2160
1606171477,2158,2158
1606173520,2155,2155
1606174503,2158,2158
1606176237,2139,2139
1606178102,2144,2144
1606179562,2125,2125
1606181157,2126,2126
1606186222,2150,2150
1606188842,2156,2156
1606193555,2167,2167
1606206969,2117,2117
1606208565,2098,2098
1606209960,2107,2107
1606211250,2079,2079
1606212536,2055,2055
1606214102,2153,2153
1606215439,2193,2193
1606217082,2182,2182
1606217707,2183,2183
1606219140,2187,2187
1606220514,2188,2188
1606221295,2189,2189
1606222441,2192,2192
1606223740,2195,2195
1606224896,2189,2189
1606226274,2194,2194
1606227950,2200,2200
1606229430,2182,2182
1606230767,2178,2178
1606233029,2199,2199
1606234928,2211,2211
1606235686,2209,2209
1606236916,2315,2315
1606239269,2341,2341
1606242881,2360,2360
1606245113,2367,2367
1606246424,2237,2237
1606248650,2006,2006
1606250088,2083,2083
1606252366,2245,2245
1606253625,2216,2216
1606256746,2191,2191
1606257286,2183,2183
1606259180,2181,2181
1606260343,2197,2197
1606263953,2125,2125
1606265337,2120,2120
1606266887,2110,2110
1606268892,2101,2101
1606270384,2097,2097
1606271539,2101,2101
1606272654,2115,2115
1606274171,2122,2122
1606275295,2126,2126
1606278890,2130,2130
1606281359,2123,2123
1606283451,2126,2126
1606285197,2152,2152
1606286099,2157,2157
1606287589,2170,2170
1606289146,2201,2201
1606289687,2226,2226
1606293293,2329,2329
1606294473,2354,2354
1606295780,2355,2355
1606296907,2353,2353
1606298679,2351,2351
1606300505,2359,2359
1606301987,2358,2358
1606303175,2367,2367
1606304590,2489,2489
1606305984,2513,2513
1606307151,2528,2528
1606308647,2532,2532
1606310443,2540,2540
