DateTime,AddedIPs,RemovedIPs
1605301858,0,2
1605303284,2,0
1605307842,0,1
1605308974,1,0
1605313281,0,2
1605317679,1,0
1605322043,1,2
1605326395,1,1
1605331215,1,1
1605342881,1,0
1605346486,1,0
1605349150,0,1
1605351280,1,0
1605356739,0,2
1605358770,2,0
1605366403,1,1
1605368084,0,1
1605371688,4,1
1605375278,1,8
1605377872,1,13
1605379469,0,15
1605380944,0,17
1605382484,0,15
1605385256,0,35
1605386084,1,20
1605387540,0,22
1605389147,0,2
1605389684,0,24
1605391905,2,30
1605393286,0,17
1605395673,0,23
1605397847,2,16
1605400489,0,62
1605402947,0,19
1605404100,0,27
1605405978,0,1
1605407685,1,1
1605410266,0,2
1605412247,1,0
1605414892,3,0
1605419449,0,1
1605420731,0,1
1605422076,1,0
1605425673,2,2
1605428447,0,1
1605431038,1,2
1605435937,0,2
1605436484,0,1
1605438905,3,0
1605442926,0,1
1605444643,1,0
1605447282,2,0
1605448573,1,0
1605453495,1,0
1605454478,0,1
1605455616,3,0
1605457538,2,1
1605458090,1,0
1605459401,4,0
1605460673,5,0
1605461683,3,0
1605463363,4,1
1605466058,1,0
1605467644,2,0
1605468887,2,2
1605470981,10,0
1605472481,2,0
1605474490,1,1
1605477215,3,0
1605478736,2,0
1605482571,7,1
1605483284,1,0
1605484445,2,0
1605485990,2,0
1605486876,1,0
1605491591,2,2
1605493536,1,1
1605500741,1,1
1605501289,0,1
1605504476,1,0
1605505852,1,2
1605507523,1,1
1605511148,0,1
1605513045,0,1
1605517831,0,1
1605519165,3,0
1605520261,1,0
1605521848,0,2
1605523063,0,1
1605524949,1,0
1605527411,0,1
1605529283,0,2
1605530096,1,1
1605531891,1,0
1605534471,1,0
1605535578,1,1
1605540889,0,1
1605552009,0,1
1605556768,1,2
1605561840,2,0
1605565389,2,0
1605569687,0,1
1605572664,1,0
1605578964,0,2
1605584083,0,1
1605588384,1,0
1605595846,1,7
1605598618,2,0
1605602693,0,1
1605608612,2,1
1605611360,3,2
1605615504,0,1
1605616488,0,2
1605617669,1,0
1605619555,2,1
1605620084,1,4
1605625543,0,2
1605627283,0,1
1605630889,0,1
1605632879,1,1
1605634485,2,0
1605636421,1,0
1605638079,1,0
1605646119,0,1
1605649839,0,3
1605652488,0,1
1605655194,1,0
1605659678,0,1
1605663285,1,0
1605666346,0,1
1605670495,0,2
1605674092,2,2
1605687957,0,1
1605690351,1,1
1605692089,0,1
1605693870,1,1
1605695675,1,0
1605699292,0,1
1605702343,1,1
1605703771,0,3
1605704942,2,1
1605708344,1,1
1605711036,0,3
1605713693,4,3
1605716259,0,1
1605717288,3,0
1605723620,0,1
1605724484,0,2
1605726456,0,1
1605731693,1,0
1605734336,0,1
1605735288,0,1
1605738897,4,3
1605741615,2,0
1605742959,2,0
1605744943,3,0
1605746080,3,2
1605748872,9,1
1605751205,0,1
1605753289,0,1
1605756122,1,1
1605756893,3,0
1605760485,1,1
1605767692,2,0
1605774098,1,2
1605775835,4,0
1605778484,0,3
1605782106,0,2
1605786384,3,2
1605787573,1,1
1605789290,0,2
1605790956,1,0
1605795940,1,0
1605800087,2,1
1605803700,0,1
1605805540,0,1
1605810888,1,1
1605816803,0,1
1605830364,1,1
1605836097,1,0
1605844383,1,0
1605846881,0,1
1605850498,2,0
1605852542,2,0
1605854090,1,1
1605857688,1,0
1605862423,1,0
1605864888,0,1
1605867220,0,1
1605868996,1,1
1605873399,1,0
1605875143,0,1
1605875687,0,1
1605877973,1,1
1605879284,1,0
1605881629,0,1
1605884834,0,2
1605893683,1,0
1605895413,0,1
1605897278,0,2
1605900880,0,1
1605911687,0,2
1605914742,0,4
1605916245,0,6
1605918020,2,8
1605919743,0,3
1605922488,0,2
1605925301,1,1
1605929703,0,2
1605933292,1,2
1605936889,0,1
1605940486,0,1
1605943529,0,1
1605946967,0,3
1605947693,0,2
1605949190,0,1
1605953828,2,0
1605955828,0,3
1605961430,2,2
1605963042,0,3
1605965666,0,1
1605968702,6,0
1605970588,0,1
1605972344,1,0
1605980095,0,2
1605982635,0,1
1605983686,0,1
1605985916,1,0
1605990112,1,0
1605990877,2,0
1605993950,5,2
1605995440,8,0
1605998092,11,2
1605999788,11,0
1606001691,2,0
1606002892,9,0
1606004706,6,0
1606005282,10,0
1606006658,13,1
1606007842,2,0
1606008889,6,0
1606011949,22,0
1606013446,9,0
1606015544,1,0
1606019700,1,0
1606022750,1,1
1606023940,0,1
1606026893,1,0
1606031436,1,0
1606034092,1,0
1606035543,0,2
1606042103,0,1
1606044879,0,2
1606046271,1,0
1606047664,2,0
1606050746,1,0
1606060403,2,0
1606062344,7,0
1606063714,3,0
1606068209,1,0
1606070090,4,1
1606073678,3,1
1606076749,1,0
1606077287,1,0
1606080903,1,0
1606083940,7,0
1606085445,1,0
1606091145,1,0
1606098913,1,0
1606106098,4,0
1606109160,1,0
1606110472,7,1
1606114199,1,0
1606116244,0,2
1606119240,1,0
1606120916,1,0
1606122261,0,2
1606124093,1,3
1606126048,1,3
1606127145,2,0
1606136791,0,1
1606139444,0,1
1606145702,0,1
1606146861,1,0
1606152882,0,1
1606156476,0,1
1606160085,0,2
1606163677,1,8
1606165460,1,6
1606167299,0,9
1606170335,1,8
1606171473,0,3
1606173501,0,7
1606174496,1,6
1606176219,0,20
1606178096,0,4
1606179555,2,11
1606186052,0,8
1606189251,0,1
1606193548,2,3
1606206958,4,11
1606208548,5,2
1606209954,4,0
1606211231,0,1
1606212528,0,2
1606214094,1,2
1606219135,0,1
1606220508,1,0
1606221291,0,3
1606224889,0,2
1606226270,1,1
1606227944,1,0
1606229423,1,2
1606230763,1,0
1606233020,0,1
1606234917,3,2
1606235682,1,0
1606239264,1,2
1606242875,3,1
1606248637,0,1
1606252362,0,4
1606253607,0,2
1606256741,3,2
1606259176,0,1
1606260338,1,0
1606263949,3,2
1606265321,2,1
1606266881,2,1
1606268885,0,1
1606270376,1,1
1606271517,2,0
1606272650,1,0
1606274165,2,0
1606275288,0,1
1606278885,5,5
1606281352,0,1
1606283448,2,0
1606285193,0,2
1606289683,0,1
1606293288,0,3
1606294467,0,1
1606295770,3,0
1606296903,1,0
1606298649,1,0
1606304585,1,0
1606305978,1,2
1606308643,0,1
1606310439,3,1
1606314002,0,1
1606314897,0,1
1606316059,1,0
1606317744,0,2
1606319447,2,0
1606328095,2,1
1606332093,3,1
1606332893,1,0
1606336480,2,1
1606337793,2,0
1606339499,0,1
1606340083,0,2
1606342944,1,0
1606344592,1,0
1606346457,2,0
1606350345,0,1
1606353615,0,1
1606354483,1,0
1606356281,0,1
1606357545,1,0
1606361688,1,2
1606363190,1,1
1606366243,2,0
1606368355,1,0
1606369612,0,2
1606371956,1,0
1606375547,1,0
1606376914,0,1
1606378015,0,1
1606381630,1,0
1606385797,1,0
1606388668,0,1
1606391361,2,0
1606396501,3,4
1606397641,0,2
1606399559,1,1
1606401293,0,1
1606403465,0,3
1606404705,0,2
1606407236,0,2
1606408485,2,1
1606409694,1,0
1606413890,0,1
1606416643,0,1
1606421634,0,1
1606422954,1,1
1606424601,0,1
1606426499,0,1
1606431044,2,2
1606433685,0,1
1606436619,1,0
1606441359,0,3
1606444483,0,2
1606447129,0,3
1606448079,0,1
1606451148,1,4
1606457762,0,1
1606460836,5,1
1606462488,1,3
1606464770,1,1
1606466366,0,2
1606469033,1,1
1606469688,0,1
1606473280,2,1
1606475074,1,2
1606476880,0,2
1606479941,0,1
1606481218,0,1
1606486931,1,1
1606488191,0,3
1606489747,0,5
1606493367,1,0
1606494887,0,1
1606499636,1,0
1606501541,2,0
1606504089,0,1
1606510777,0,2
1606517969,0,1
1606519134,1,0
1606520096,1,1
1606523144,1,1
1606524632,2,1
1606527282,0,1
1606530884,3,3
1606534484,1,0
1606538107,0,2
1606539590,0,1
1606545281,1,1
1606548339,1,2
1606549839,0,1
1606552489,0,7
1606555538,0,1
1606558728,1,2
1606559678,1,1
1606562241,0,2
1606563279,0,1
1606565783,1,1
1606567342,1,1
1606569061,1,1
1606570478,0,1
1606573220,3,1
1606574083,0,2
1606578641,0,2
1606580237,1,1
1606581278,0,1
1606584343,0,1
1606595684,0,1
1606599288,0,1
1606602044,1,2
1606606479,1,2
1606608126,1,0
1606610855,1,0
1606621843,0,1
1606623945,0,1
1606626965,0,1
1606628623,0,3
1606629889,0,3
1606633956,1,2
1606637042,0,1
1606638878,10,0
1606642484,0,1
1606651493,0,1
1606653274,0,2
1606655771,1,0
1606658850,0,1
1606661439,1,1
1606663340,1,1
1606666091,7,1
1606725292,83,15
1606728891,1,1
1606731376,0,1
1606734636,0,1
1606743252,0,1
1606748394,0,1
1606751445,1,0
1606752769,1,0
1606759157,0,1
1606764883,1,0
1606767364,4,0
1606772109,2,0
1606778754,0,1
1606780587,1,0
1606787833,1,0
1606789542,0,2
1606792238,49,0
1606794641,0,1
1606801853,3,0
1606804481,1,0
1606808080,0,2
1606815291,2,0
1606817325,1,0
1606820825,0,2
