DateTime,AddedIPs,RemovedIPs
1606459414,41,65
1606460134,48,62
1606460855,37,67
1606461574,42,57
1606462295,44,49
1606463014,47,49
1606463735,36,45
1606464455,38,37
1606465175,44,55
1606465894,48,45
1606466614,45,43
1606467334,47,40
1606468054,45,44
1606468774,50,63
1606469494,53,50
1606470214,70,46
1606470934,62,59
1606471654,73,73
1606472374,43,51
1606473095,56,50
1606473814,115,41
1606474535,37,50
1606475254,33,60
1606475974,53,65
1606476695,26,63
1606477414,38,59
1606478134,41,38
1606478855,39,36
1606479574,32,30
1606480294,37,58
1606481014,50,53
1606481734,34,62
1606482454,45,53
1606483175,38,40
1606483894,37,45
1606484614,65,45
1606485334,73,66
1606486055,46,47
1606486774,38,63
1606487494,51,49
1606488214,55,52
1606488934,51,45
1606489654,50,42
1606490375,39,45
1606491094,38,43
1606492054,60,42
1606493014,51,53
1606493975,49,53
1606494695,45,43
1606495414,66,34
1606496374,58,55
1606497094,48,33
1606497814,32,44
1606498534,24,44
1606499255,64,46
1606499974,42,30
1606500695,26,33
1606501414,37,36
1606502135,31,30
1606502854,41,42
1606503575,57,27
1606504294,51,37
1606505014,43,44
1606505734,40,38
1606506454,38,42
1606507174,23,34
1606507894,30,28
1606508615,45,43
1606509334,31,37
1606510054,26,32
1606510774,33,35
1606511494,37,42
1606512215,40,36
1606513174,64,49
1606513894,39,63
1606514614,29,57
1606515334,37,52
1606516054,39,35
1606516775,35,30
1606517494,26,37
1606518214,27,38
1606518934,35,31
1606519654,39,32
1606520374,33,29
1606521094,28,38
1606521814,38,45
1606522534,26,49
1606523254,27,49
1606523974,36,19
1606524694,188,36
1606525414,46,53
1606526134,44,40
1606526854,26,58
1606527575,31,28
1606528295,30,31
1606529014,42,54
1606529734,37,46
1606530454,54,52
1606531174,26,58
1606531894,33,33
1606532614,36,44
1606533335,36,45
1606534055,45,52
1606534775,33,32
1606535494,31,38
1606536214,35,32
1606536934,37,27
1606537654,48,27
1606538375,35,26
1606539094,48,33
1606539815,59,20
1606540535,52,42
1606541254,66,35
1606541975,41,38
1606542695,45,34
1606543414,41,36
1606544135,37,35
1606544854,48,41
1606545574,42,27
1606546294,79,43
1606547015,38,32
1606547735,31,39
1606548455,47,33
1606549174,38,35
1606549895,45,41
1606550615,41,26
1606551334,30,40
1606552054,39,61
1606552775,50,45
1606553494,48,38
1606554214,50,34
1606554934,29,44
1606556134,64,86
1606556855,44,64
1606557574,42,62
1606558294,152,43
1606559015,36,53
1606559735,45,106
1606560455,45,50
1606561174,59,36
1606561894,68,38
1606562614,57,47
1606563334,37,28
1606564054,43,43
1606564774,36,40
1606565494,42,34
1606566215,38,39
1606566935,36,41
1606567655,46,40
1606568374,43,44
1606569094,45,29
1606569814,42,28
1606570535,49,55
1606571254,39,48
1606571974,37,64
1606572695,40,47
1606573414,42,46
1606574135,47,56
1606574854,46,45
1606575574,35,70
1606576294,43,48
1606577014,37,42
1606577734,37,49
1606578454,33,46
1606579174,49,41
1606579895,45,46
1606580614,32,29
1606581334,54,51
1606582054,43,51
1606582775,43,47
1606583494,41,39
1606584214,43,38
1606584934,39,23
1606585655,30,56
1606586374,37,40
1606587094,29,28
1606587814,27,35
1606588534,34,27
1606589254,31,32
1606589974,35,56
1606590694,22,55
1606591415,50,48
1606592134,53,40
1606592854,46,34
1606593574,48,18
1606594294,28,25
1606595014,30,48
1606595734,22,34
1606596694,29,34
1606597415,70,27
1606598134,37,35
1606598854,28,53
1606599574,29,41
1606600294,36,34
1606601014,32,38
1606601734,34,48
1606602455,27,43
1606603174,26,28
1606603894,25,31
1606604614,24,32
1606605334,41,41
1606606294,41,42
1606607014,29,34
1606607735,30,38
1606608454,54,31
1606609174,60,27
1606609895,98,27
1606610615,76,38
1606611334,49,191
1606612054,30,51
1606612774,42,39
1606613494,31,29
1606614214,24,26
1606614934,27,38
1606615894,47,62
1606616614,31,46
1606617334,29,37
1606618054,28,24
1606618774,39,33
1606619495,29,27
1606620214,39,32
1606620935,47,34
1606621654,34,27
1606622375,37,35
1606623094,38,41
1606623814,34,40
1606624534,40,26
1606625255,25,47
1606625974,25,42
1606626695,33,49
1606627414,26,43
1606628134,37,48
1606628854,26,35
1606629574,25,34
1606630294,36,33
1606631014,36,38
1606631735,36,44
1606632454,33,62
1606633174,40,42
1606633894,31,29
1606634614,34,25
1606635336,44,52
1606636054,34,46
1606636774,33,44
1606637494,51,38
1606638214,61,36
1606638934,38,34
1606639654,47,53
1606640374,31,41
1606641094,38,46
1606641814,47,37
1606642534,32,25
1606643254,33,48
1606643975,26,35
1606644694,43,154
1606645414,47,36
1606646135,59,43
1606646855,61,40
1606647574,46,65
1606648294,34,65
1606649014,38,53
1606649734,41,43
1606650454,63,45
1606651174,66,34
1606651894,64,38
1606652614,56,41
1606653334,26,32
1606654054,31,54
1606654774,32,42
1606655494,39,43
1606656214,53,38
1606656935,46,52
1606657654,46,45
1606658375,38,34
1606659094,36,41
1606659815,48,50
1606660534,50,41
1606661255,38,52
1606661974,27,37
1606662695,37,42
1606663414,34,34
1606664375,41,48
1606665094,33,32
1606665814,41,39
1606666534,35,34
1606667254,34,41
1606667974,26,44
1606668694,24,41
1606669414,34,43
1606670134,24,48
1606670734,18,27
1606671694,51,64
1606672294,25,30
1606672894,46,30
1606673614,43,31
1606674574,71,40
1606675414,70,43
1606676254,46,45
1606676854,30,32
1606677574,28,41
1606678294,40,37
1606679135,62,50
1606679734,23,33
1606680454,48,22
1606681175,55,30
1606682014,76,27
1606682614,29,27
1606683334,31,57
1606684054,32,36
1606684774,28,30
1606685614,34,37
1606686214,36,25
1606686934,45,37
1606687654,31,33
1606688374,28,31
1606689095,32,28
1606689815,35,38
1606690534,36,30
1606691254,26,36
1606691974,26,33
1606692694,20,26
1606693414,28,27
1606694135,37,32
1606694854,22,46
1606695694,39,61
1606696534,31,105
1606697254,38,63
1606697974,31,41
1606698694,36,40
1606699414,35,40
1606700134,34,30
1606700854,31,26
1606701574,54,32
1606702174,64,24
1606702774,34,25
1606703495,47,34
1606704214,47,36
1606704934,68,34
1606705655,70,33
1606706374,66,31
1606707094,37,45
1606707814,37,44
1606708534,40,32
1606709374,53,40
1606710214,43,47
1606710934,35,39
1606711654,33,42
1606712374,48,34
1606713094,46,34
1606713814,37,36
1606714534,32,32
1606715254,42,34
1606715974,29,35
1606716694,39,50
1606717534,58,51
1606718134,43,43
1606718854,54,39
1606719574,46,51
1606720294,35,48
1606721014,38,43
1606721734,29,43
1606722454,49,49
1606723174,42,38
1606723895,64,48
1606724614,45,76
1606725334,50,33
1606726054,50,53
1606726774,41,50
1606727494,52,41
1606728214,39,50
1606728934,43,38
1606729654,51,47
1606730375,84,37
1606731095,58,48
1606731814,42,55
1606732535,56,59
1606733254,55,53
1606733974,35,55
1606734694,40,34
1606735414,49,40
1606736134,38,46
1606736854,39,57
1606737574,50,76
1606738294,49,68
1606739014,60,51
1606739734,60,30
1606740454,48,41
1606741174,40,36
1606741894,41,38
1606742614,38,43
1606743334,51,50
1606744054,70,46
1606744774,100,38
1606745494,33,48
1606746214,44,47
1606746934,36,44
1606747654,47,33
1606748374,40,31
1606749095,47,28
1606749814,44,27
1606750534,48,45
1606751254,50,38
1606751974,48,55
1606752694,44,42
1606753414,31,47
1606754134,32,28
1606754854,47,26
1606755574,42,22
1606756295,40,43
1606757014,196,31
1606757734,63,30
1606758454,39,34
1606759174,37,41
1606759894,39,40
1606760614,34,55
1606761334,28,58
1606762054,30,53
1606762774,35,40
1606763494,38,29
1606764214,39,37
1606764935,35,45
1606765894,60,58
1606766614,33,39
1606767334,36,61
1606768054,45,61
1606768775,97,59
1606769494,33,32
1606770215,30,36
1606770934,36,26
1606771654,27,31
1606772374,35,37
1606773094,28,35
1606773815,74,39
1606774535,33,29
1606775255,32,33
1606775975,32,35
1606776694,42,32
1606777414,31,29
1606778134,32,21
1606778854,24,23
1606779574,36,27
1606780294,29,36
1606781014,26,35
1606781735,35,28
1606782454,37,35
1606783174,29,23
1606783894,29,31
1606784614,29,42
1606785334,67,33
1606786054,65,35
1606786774,48,28
1606787494,32,37
1606788214,34,59
1606788934,30,56
1606789654,38,52
1606790374,34,36
1606791094,40,72
1606791814,44,64
1606792534,34,59
1606793254,39,66
1606793974,29,44
1606794694,31,30
1606795415,36,42
1606796134,40,46
1606796854,34,41
1606797574,49,40
1606798294,43,42
1606799014,26,41
1606799735,52,29
1606800454,32,34
1606801174,32,33
