DateTime,Entries,UniqueIPs
1606459414,36110,36110
1606460134,36096,36096
1606460855,36066,36066
1606461574,36051,36051
1606462295,36046,36046
1606463014,36044,36044
1606463735,36035,36035
1606464455,36036,36036
1606465175,36025,36025
1606465894,36028,36028
1606466614,36030,36030
1606467334,36037,36037
1606468054,36038,36038
1606468774,36025,36025
1606469494,36028,36028
1606470214,36052,36052
1606470934,36055,36055
1606471654,36055,36055
1606472374,36047,36047
1606473095,36053,36053
1606473814,36127,36127
1606474535,36114,36114
1606475254,36087,36087
1606475974,36075,36075
1606476695,36038,36038
1606477414,36017,36017
1606478134,36020,36020
1606478855,36023,36023
1606479574,36025,36025
1606480294,36004,36004
1606481014,36001,36001
1606481734,35973,35973
1606482454,35965,35965
1606483175,35963,35963
1606483894,35955,35955
1606484614,35975,35975
1606485334,35982,35982
1606486055,35981,35981
1606486774,35956,35956
1606487494,35958,35958
1606488214,35961,35961
1606488934,35967,35967
1606489654,35975,35975
1606490375,35969,35969
1606491094,35964,35964
1606492054,35982,35982
1606493014,35980,35980
1606493975,35976,35976
1606494695,35978,35978
1606495414,36010,36010
1606496374,36013,36013
1606497094,36028,36028
1606497814,36016,36016
1606498534,35996,35996
1606499255,36014,36014
1606499974,36026,36026
1606500695,36019,36019
1606501414,36020,36020
1606502135,36021,36021
1606502854,36020,36020
1606503575,36050,36050
1606504294,36064,36064
1606505014,36063,36063
1606505734,36065,36065
1606506454,36061,36061
1606507174,36050,36050
1606507894,36052,36052
1606508615,36054,36054
1606509334,36048,36048
1606510054,36042,36042
1606510774,36040,36040
1606511494,36035,36035
1606512215,36039,36039
1606513174,36054,36054
1606513894,36030,36030
1606514614,36002,36002
1606515334,35987,35987
1606516054,35991,35991
1606516775,35996,35996
1606517494,35985,35985
1606518214,35974,35974
1606518934,35978,35978
1606519654,35985,35985
1606520374,35989,35989
1606521094,35979,35979
1606521814,35972,35972
1606522534,35949,35949
1606523254,35927,35927
1606523974,35944,35944
1606524694,36096,36096
1606525414,36089,36089
1606526134,36093,36093
1606526854,36061,36061
1606527575,36064,36064
1606528295,36063,36063
1606529014,36051,36051
1606529734,36042,36042
1606530454,36044,36044
1606531174,36012,36012
1606531894,36012,36012
1606532614,36004,36004
1606533335,35995,35995
1606534055,35988,35988
1606534775,35989,35989
1606535494,35982,35982
1606536214,35985,35985
1606536934,35995,35995
1606537654,36016,36016
1606538375,36025,36025
1606539094,36040,36040
1606539815,36079,36079
1606540535,36089,36089
1606541254,36120,36120
1606541975,36123,36123
1606542695,36134,36134
1606543414,36139,36139
1606544135,36141,36141
1606544854,36148,36148
1606545574,36163,36163
1606546294,36199,36199
1606547015,36205,36205
1606547735,36197,36197
1606548455,36211,36211
1606549174,36214,36214
1606549895,36218,36218
1606550615,36233,36233
1606551334,36223,36223
1606552054,36201,36201
1606552775,36206,36206
1606553494,36216,36216
1606554214,36232,36232
1606554934,36217,36217
1606556134,36195,36195
1606556855,36175,36175
1606557574,36155,36155
1606558294,36264,36264
1606559015,36247,36247
1606559735,36186,36186
1606560455,36181,36181
1606561174,36204,36204
1606561894,36234,36234
1606562614,36244,36244
1606563334,36253,36253
1606564054,36253,36253
1606564774,36249,36249
1606565494,36257,36257
1606566215,36256,36256
1606566935,36251,36251
1606567655,36257,36257
1606568374,36256,36256
1606569094,36272,36272
1606569814,36286,36286
1606570535,36280,36280
1606571254,36271,36271
1606571974,36244,36244
1606572695,36237,36237
1606573414,36233,36233
1606574135,36224,36224
1606574854,36225,36225
1606575574,36190,36190
1606576294,36185,36185
1606577014,36180,36180
1606577734,36168,36168
1606578454,36155,36155
1606579174,36163,36163
1606579895,36162,36162
1606580614,36165,36165
1606581334,36168,36168
1606582054,36160,36160
1606582775,36156,36156
1606583494,36158,36158
1606584214,36163,36163
1606584934,36179,36179
1606585655,36153,36153
1606586374,36150,36150
1606587094,36151,36151
1606587814,36143,36143
1606588534,36150,36150
1606589254,36149,36149
1606589974,36128,36128
1606590694,36095,36095
1606591415,36097,36097
1606592134,36110,36110
1606592854,36122,36122
1606593574,36152,36152
1606594294,36155,36155
1606595014,36137,36137
1606595734,36125,36125
1606596694,36120,36120
1606597415,36163,36163
1606598134,36165,36165
1606598854,36140,36140
1606599574,36128,36128
1606600294,36130,36130
1606601014,36124,36124
1606601734,36110,36110
1606602455,36094,36094
1606603174,36092,36092
1606603894,36086,36086
1606604614,36078,36078
1606605334,36078,36078
1606606294,36077,36077
1606607014,36072,36072
1606607735,36064,36064
1606608454,36087,36087
1606609174,36120,36120
1606609895,36191,36191
1606610615,36229,36229
1606611334,36087,36087
1606612054,36066,36066
1606612774,36069,36069
1606613494,36071,36071
1606614214,36069,36069
1606614934,36058,36058
1606615894,36043,36043
1606616614,36028,36028
1606617334,36020,36020
1606618054,36024,36024
1606618774,36030,36030
