DateTime,AddedIPs,RemovedIPs
1606667128,47,0
1606667433,41,0
1606667728,33,0
1606668028,39,0
1606668334,36,0
1606668631,42,1
1606668928,43,0
1606669235,45,0
1606669533,40,0
1606669829,28,0
1606670129,45,0
1606670728,81,0
1606671030,42,0
1606671628,90,0
1606671929,41,0
1606672229,42,0
1606672528,41,0
1606672830,45,0
1606673130,40,0
1606673429,46,0
1606674029,77,0
1606674327,41,0
1606674928,89,0
1606675228,46,0
1606675532,46,0
1606675832,43,0
1606676128,35,0
1606676435,43,0
1606676729,33,0
1606677028,41,0
1606677628,89,1
1606677928,46,0
1606678230,39,0
1606678528,45,0
1606679128,83,0
1606679430,41,0
1606679727,51,0
1606680031,48,0
1606680330,47,0
1606680628,31,0
1606680931,42,0
1606681229,49,0
1606681529,46,0
1606681830,43,0
1606682428,93,0
1606682732,24,0
1606683028,38,0
1606683329,50,0
1606683635,59,0
1606683930,48,0
1606684231,33,0
1606684530,48,0
1606684829,34,0
1606685130,34,0
1606685431,46,0
1606685730,43,0
1606686030,42,0
1606686632,92,0
1606686928,54,0
1606687233,33,0
1606687530,41,0
1606687830,42,0
1606688133,39,0
1606688429,35,0
1606688729,29,0
1606689031,47,0
1606689329,37,0
1606689631,27,0
1606689930,46,0
1606690233,50,0
1606690528,47,0
1606690838,47,0
1606691132,42,0
1606691427,43,0
1606691732,28,0
1606692028,31,0
1606692329,47,0
1606692630,43,0
1606692929,34,0
1606693229,53,0
1606693533,48,0
1606693832,38,0
1606694128,23,0
1606694436,53,0
1606694731,44,0
1606695029,49,0
1606695329,47,0
1606695630,43,0
1606695928,31,0
1606696527,68,0
1606696830,44,0
1606697132,47,0
1606697429,41,0
1606697728,40,0
1606698030,39,0
1606698333,34,0
1606698628,36,0
1606698931,42,0
1606699228,43,0
1606699529,44,0
1606699830,49,0
1606700127,43,0
1606700427,44,0
1606700733,33,0
1606701030,39,0
1606701327,30,0
1606701631,55,0
1606701930,37,0
1606702529,88,0
1606702829,42,0
1606703128,28,0
1606703431,36,0
1606703728,40,0
1606704028,33,0
1606704333,48,0
1606704632,45,0
1606704928,41,0
1606705234,33,0
1606705530,36,0
1606705828,42,0
1606706134,41,0
1606706429,48,0
1606706729,45,0
1606707033,38,0
1606707328,39,0
1606707629,33,0
1606707933,50,0
1606708231,37,0
1606708528,44,0
1606708834,39,0
1606709129,40,0
1606709732,68,0
1606710028,42,0
1606710330,40,0
1606710633,36,0
1606710929,41,0
1606711228,32,0
1606711534,42,0
1606711829,42,0
1606712128,36,0
1606712436,40,0
1606712733,38,0
1606713029,43,0
1606713331,40,0
1606713628,37,0
1606713928,38,0
1606714234,31,0
1606714528,46,0
1606714831,41,0
1606715133,37,0
1606715428,35,0
1606715728,46,0
1606716036,43,1
1606716329,40,0
1606716628,49,0
1606716932,42,0
1606717528,80,0
1606717832,41,0
1606718128,48,0
1606718430,30,0
1606718731,33,0
1606719031,44,0
1606719329,43,0
1606719632,46,0
1606719929,40,0
1606720230,41,0
1606720529,40,0
1606720830,28,0
1606721128,42,0
1606721435,38,0
1606721729,36,0
1606722031,53,0
1606722333,42,0
1606722632,43,0
1606722928,41,0
1606723236,34,0
1606723533,38,0
1606723828,46,0
1606724132,42,0
1606724429,38,0
1606724729,47,0
1606725030,35,0
1606725328,39,0
1606725628,41,0
1606725933,32,0
1606726228,38,0
1606726529,41,0
1606726832,44,0
1606727131,43,0
1606727430,43,0
1606727729,31,0
1606728029,24,0
1606728329,43,0
1606728631,33,0
1606728927,49,0
1606729231,35,0
1606729529,39,0
1606729829,23,0
1606730128,38,0
1606730435,36,0
1606730732,34,0
1606731030,32,0
1606731330,48,0
1606731630,39,0
1606731928,48,0
1606732234,43,0
1606732527,34,0
1606732829,48,0
1606733134,39,0
1606733429,43,0
1606733729,41,0
1606734037,43,0
1606734334,33,0
1606734630,41,0
1606734931,33,0
1606735230,32,0
1606735528,39,0
1606735832,49,0
1606736128,48,0
1606736429,38,0
1606736729,37,0
1606737030,46,0
1606737328,50,0
1606737633,47,0
1606737934,38,0
1606738229,49,0
1606738529,48,0
1606738829,41,0
1606739129,35,0
1606739431,41,0
1606739728,45,0
1606740029,38,0
1606740334,36,0
1606740629,39,0
1606740928,37,0
1606741235,30,0
1606741533,43,0
1606741830,37,0
1606742132,41,0
1606742429,44,0
1606743033,70,0
1606743329,32,0
1606743629,39,0
1606743935,44,0
1606744232,43,0
1606744528,35,0
1606744837,38,0
1606745134,33,0
1606745430,26,0
1606745732,39,0
1606746030,42,0
1606746329,41,0
1606746632,44,0
1606746928,30,0
1606747229,32,0
1606747534,38,0
1606747828,32,0
1606748128,46,0
1606748436,37,0
1606748733,37,0
1606749029,31,0
1606749330,36,0
1606749630,38,0
1606749928,29,0
1606750234,39,0
1606750527,28,0
1606750829,51,0
1606751137,44,0
1606751429,54,0
1606751728,46,0
1606752035,36,0
1606752332,40,0
1606752628,38,0
1606752935,43,0
1606753231,40,0
1606753529,36,0
1606753833,42,0
1606754128,40,0
1606754429,29,0
1606754736,37,0
1606755029,34,0
1606755328,37,0
1606755635,34,0
1606755934,42,0
1606756228,28,0
1606756533,35,0
1606756831,41,0
1606757128,31,0
1606757433,36,0
1606757729,40,0
1606758028,36,0
1606758336,38,0
1606758630,40,0
1606758928,38,0
1606759232,41,0
1606759533,43,0
1606759829,42,0
1606760132,38,0
1606760429,42,1
1606760728,57,0
1606761032,38,0
1606761329,35,0
1606761631,48,0
1606761932,51,0
1606762232,44,0
1606762528,45,0
1606762832,41,0
1606763131,43,0
1606763429,29,0
1606763728,53,0
1606764030,35,0
1606764329,45,0
1606764632,35,0
1606764928,29,0
1606765230,35,0
1606765828,79,0
1606766128,34,0
1606766435,44,0
1606766730,49,0
1606767030,43,0
1606767330,28,0
1606767630,40,0
1606767929,42,0
1606768230,45,0
1606768527,30,0
1606768828,44,0
1606769129,42,0
1606769429,45,0
1606769728,41,0
1606770030,29,0
1606770330,41,0
1606770629,42,0
1606770929,45,0
1606771230,37,0
1606771528,46,0
1606771836,43,0
1606772128,36,0
1606772428,38,0
1606772733,51,0
1606773032,42,0
1606773328,42,0
1606773634,48,0
1606773934,48,0
1606774230,40,0
1606774533,23,0
1606774829,43,0
1606775129,36,0
1606775432,49,0
1606775728,47,0
1606776030,39,0
1606776333,43,0
1606776630,32,0
1606776928,26,0
1606777236,36,0
1606777531,38,0
1606777829,37,0
1606778133,43,0
1606778431,46,0
1606778728,45,0
1606779030,31,0
1606779328,45,0
1606779628,38,0
1606779934,35,0
1606780230,40,0
1606780529,34,0
1606780837,40,0
1606781130,35,0
1606781429,35,0
1606781731,33,0
1606782030,48,0
1606782329,35,0
1606782634,40,0
1606782928,35,0
1606783229,47,0
1606783534,30,0
1606783830,47,0
1606784130,39,0
1606784433,42,0
1606785031,83,0
1606785331,46,0
1606785629,31,0
1606785928,35,0
1606786232,52,0
1606786528,29,0
1606786829,38,0
1606787134,41,0
1606787429,35,0
1606787728,42,0
1606788033,31,0
1606788329,32,0
1606788629,46,0
1606788932,31,0
1606789230,41,0
1606789528,47,0
1606789831,49,0
1606790128,33,0
1606790428,43,0
1606790732,36,0
1606791032,34,0
1606791328,40,0
1606791635,35,0
1606791929,33,0
1606792230,37,0
1606792529,40,0
1606792830,34,0
1606793129,38,0
1606793432,49,0
1606793728,44,0
1606794029,37,0
1606794337,35,0
1606794629,37,0
1606794929,36,0
1606795236,43,0
1606795529,33,0
1606795832,37,0
1606796130,35,0
1606796429,29,0
1606796730,45,0
1606797032,38,0
1606797328,43,0
1606797629,45,0
1606797932,36,0
1606798232,38,0
1606798527,36,0
1606798837,42,0
1606799132,27,0
1606799429,35,0
1606799730,37,0
1606800030,42,0
1606800329,34,0
1606800633,41,0
1606800928,41,0
1606801228,25,0
1606801530,35,0
1606801830,46,0
1606802128,32,0
1606802434,54,0
1606802729,39,0
1606803028,42,0
1606803330,48,0
1606803628,30,0
1606803932,35,0
1606804233,39,0
1606804528,38,0
1606804829,38,0
1606805129,31,0
1606805429,39,0
1606805728,33,0
1606806037,21,0
1606806629,58,0
1606806933,26,0
1606807229,27,0
1606807529,29,0
1606807834,22,0
1606808128,18,0
1606808429,21,0
1606808734,19,0
1606809030,28,0
1606809328,26,0
1606809635,25,0
1606809931,15,0
1606810228,22,0
1606810533,14,0
1606810830,15,0
1606811129,25,0
1606811431,22,0
1606811728,22,0
1606812030,25,0
1606812332,15,0
1606812631,11,0
1606812928,24,0
1606813235,19,0
1606813529,28,0
1606813828,21,0
1606814133,22,0
1606814430,24,0
1606814728,19,0
1606815032,20,0
1606815329,17,0
1606815629,27,0
1606815931,22,0
1606816231,24,0
1606816528,23,0
1606816832,20,0
1606817132,15,0
1606817429,24,0
1606817730,20,0
1606818030,26,0
1606818329,21,0
1606818634,25,0
1606818929,23,0
1606819229,26,0
1606819535,17,0
1606819829,24,0
1606820129,24,0
1606820731,39,0
1606821029,25,0
1606821330,26,0
1606821629,20,0
1606821929,22,0
