DateTime,AddedIPs,RemovedIPs
1606400523,1,0
1606401073,18,19
1606401723,4,0
1606402323,4,0
1606404123,1,0
1606404723,23,27
1606405601,4,0
1606407123,2,0
1606407723,6,0
1606410124,31,23
1606411323,1,0
1606412524,1,0
1606413124,1,0
1606413723,21,22
1606414923,5,0
1606415468,33,31
1606416123,2,0
1606417323,1,0
1606418523,3,2
1606420924,31,31
1606421523,0,1
1606422723,1,0
1606423323,1,0
1606424523,28,23
1606425724,4,0
1606426324,26,26
1606426924,1,0
1606427523,3,1
1606428123,3,0
1606428724,1,0
1606429324,1,0
1606429982,2,0
1606430524,1,0
1606431723,26,30
1606432923,1,0
1606433470,20,21
1606434123,2,0
1606435323,4,0
1606436523,3,0
1606437071,54,14
1606437723,1,2
1606438924,7,0
1606440123,1,0
1606440673,50,29
1606440782,1,0
1606441324,1,0
1606441923,2,0
1606442524,1,0
1606443124,0,1
1606444264,33,41
1606444923,1,1
1606446123,2,0
1606446724,0,1
1606447323,8,0
1606447886,48,54
1606448523,0,3
1606449723,3,2
1606450324,1,6
1606450923,0,1
1606452123,4,0
1606453323,59,54
1606454523,0,5
1606455724,2,2
1606456324,1,0
1606456923,32,42
1606458124,0,1
1606458669,41,39
1606459323,4,5
1606460524,4,2
1606461123,1,0
1606461723,1,6
1606462923,3,0
1606464127,22,29
1606464723,0,2
1606465323,5,0
1606465869,24,27
1606466523,1,2
1606467124,1,0
1606467723,2,0
1606468924,1,0
1606470124,2,0
1606470757,2,1
1606471323,46,25
1606472523,5,1
1606473079,24,21
1606473181,0,1
1606473723,1,0
1606475523,3,0
1606476123,6,0
1606476669,15,22
1606477323,2,0
1606478524,5,0
1606479191,7,0
1606480272,22,21
1606480381,2,0
1606480924,3,0
1606482123,2,1
1606482723,1,0
1606483323,2,0
1606483923,22,23
1606485123,1,0
1606485723,1,0
1606486923,3,0
1606487581,1,0
1606488123,7,0
1606489324,22,28
1606490523,1,0
1606491074,28,17
1606491909,33,0
1606492323,2,0
1606492923,1,0
1606493524,3,0
1606494123,4,0
1606494683,16,24
1606495324,4,0
1606496523,24,26
1606497723,1,0
1606498324,3,1
1606498924,2,0
1606499523,1,0
1606500123,1,0
1606500723,1,0
1606501323,3,0
1606501865,35,20
1606501981,5,0
1606502523,2,0
1606503123,2,0
1606504923,1,0
1606505482,28,27
1606506123,1,0
1606506723,0,1
1606507323,1,0
1606508524,2,0
1606509085,17,22
1606509723,3,1
1606510923,2,0
1606512123,1,0
1606512724,21,27
1606513323,2,0
1606514523,5,0
1606515723,1,0
1606516382,3,0
1606516923,2,0
1606518123,20,30
1606519323,5,0
1606519924,25,36
1606520524,5,0
1606521123,1,0
1606522323,5,0
1606522924,4,0
1606524123,1,0
1606524723,1,0
1606525323,59,32
1606526524,3,0
1606527085,62,32
1606528923,7,0
1606530124,4,0
1606530676,31,25
1606531323,10,0
1606533723,3,0
1606534923,8,0
1606536151,39,60
1606537323,3,0
1606537981,60,63
1606538523,3,0
1606539723,3,0
1606540923,3,1
1606541523,1,0
1606542124,2,0
1606543323,45,44
1606544523,1,0
1606545723,2,1
1606546923,55,53
1606547524,3,0
1606548124,1,0
1606549323,2,0
1606550523,1,1
1606551723,2,0
1606552268,24,26
1606552923,2,0
1606553524,1,0
1606554124,3,0
1606554724,1,0
1606555323,5,0
1606556523,1,0
1606557123,2,0
1606557723,24,31
1606557783,1,0
1606558923,1,0
1606559523,0,1
1606560124,1,0
1606561331,36,34
1606561923,2,0
1606563181,27,22
1606563723,6,0
1606564923,23,27
1606565523,2,0
1606566123,7,0
1606567323,1,0
1606567923,7,0
1606568523,23,30
1606569723,4,0
1606570324,40,20
1606570923,3,0
1606572123,6,0
1606573324,3,0
1606573874,28,22
1606573981,3,0
1606574523,5,0
1606575723,1,1
1606576923,0,2
1606577524,28,39
1606578123,1,1
1606579323,6,0
1606579923,14,0
1606580524,5,0
1606581124,33,36
1606581723,5,0
1606582923,1,0
1606584123,4,0
1606584678,41,41
1606585323,8,0
1606586523,1,0
1606587724,2,0
1606588924,2,0
1606590123,39,31
1606590724,2,0
1606591323,3,1
1606592523,1,0
1606593743,34,34
1606594924,2,0
1606595581,19,33
1606596123,5,0
1606597347,6,0
1606597923,2,0
1606598557,4,1
1606599181,29,31
1606599723,3,0
1606600924,1,0
1606601523,8,0
1606602124,4,0
1606603323,2,0
1606604524,32,25
1606605123,2,0
1606605723,2,0
1606606323,37,31
1606606923,5,0
1606609323,2,0
1606609868,46,13
1606609981,1,0
1606610523,21,0
1606611724,57,28
1606612923,1,0
1606614123,5,0
1606614723,6,0
1606615323,2,0
1606615923,2,0
1606616523,1,0
1606617069,26,27
1606617182,2,0
1606617723,2,0
1606618923,1,0
1606620123,9,0
1606620669,46,56
1606621323,2,0
1606622524,4,0
1606623723,7,0
1606624270,49,60
1606624923,3,0
1606625523,2,0
1606626123,3,0
1606626723,2,0
1606627880,39,39
1606627981,2,0
1606628523,5,0
1606629724,2,0
1606630923,5,0
1606631504,43,39
1606631581,0,1
1606632123,4,0
1606633323,1,0
1606634523,8,0
1606635069,25,27
1606635723,1,0
1606636923,3,0
1606638124,5,0
1606638686,21,19
1606638781,2,2
1606639923,5,0
1606640523,25,23
1606641723,2,0
1606642923,1,0
1606644123,1,0
1606645370,5,0
1606645883,18,23
1606647724,7,0
1606648323,1,0
1606648923,4,0
1606649581,4,0
1606650123,3,0
1606651323,40,35
1606652523,5,0
1606653723,1,0
1606654324,3,0
1606656123,1,0
1606656723,30,18
1606658523,22,28
1606659723,3,0
1606660382,1,1
1606660923,3,0
1606662123,1,0
1606662724,3,0
1606663923,27,32
1606664968,1,0
1606665723,2,0
1606666923,14,1
1606667524,34,33
1606667581,1,0
1606669344,27,25
1606669923,3,0
1606670523,1,0
1606671123,2,0
1606671723,2,0
1606672323,2,0
1606674123,6,0
1606674802,34,37
1606675323,10,0
1606676523,7,0
1606677124,2,0
1606677723,3,0
1606678273,21,39
1606678924,5,0
1606679523,3,2
1606680123,0,1
1606680723,7,1
1606681923,35,29
1606682366,0,1
1606683123,1,0
1606684323,7,0
1606685581,30,26
1606686123,8,0
1606687323,7,0
1606688523,4,0
1606689124,24,55
1606689181,1,0
1606689723,1,0
1606690324,2,3
1606690923,1,0
1606692123,1,0
1606693323,2,0
1606694523,54,51
1606695123,1,0
1606695723,2,0
1606696381,74,35
1606696923,5,0
1606698123,5,1
1606700523,4,1
1606701723,69,69
1606702323,1,0
1606702923,2,0
1606703581,1,1
1606704123,2,1
1606704723,1,0
1606705323,62,60
1606706523,2,0
1606707088,74,80
1606707181,0,1
1606707723,2,1
1606708923,1,0
1606709524,1,0
1606710123,1,1
1606710672,84,101
1606711323,0,1
1606712523,4,0
1606713723,1,0
1606714267,80,86
1606714923,2,1
1606716723,2,1
1606717323,1,0
1606717981,3,0
1606718523,0,1
1606719123,1,0
1606719724,86,54
1606720923,3,0
1606721466,47,62
1606723327,69,57
1606724523,3,0
1606725723,4,0
1606726554,3,0
1606726923,3,0
1606728123,4,0
1606729323,4,0
1606729923,4,0
1606730523,51,54
1606731723,1,0
1606732324,1,0
1606732923,3,0
1606734123,3,0
1606735323,1,0
1606737123,6,3
1606737723,52,77
1606738323,1,0
1606738756,64,48
1606738923,2,3
1606739524,1,0
1606739581,2,0
1606740723,1,0
1606741352,49,46
1606742582,2,1
1606743124,1,0
1606743182,65,77
1606744323,1,0
1606744923,2,0
1606746123,1,0
1606746690,56,66
1606747324,1,2
1606748523,1,2
1606749723,4,0
1606750289,62,76
1606751027,1,0
1606751523,2,5
1606752124,70,54
1606752723,2,0
1606753323,22,0
1606754523,2,5
1606755354,1,0
1606755723,1,2
1606756323,1,0
1606756923,4,0
1606757481,57,57
1606758123,0,1
1606758723,0,2
1606759323,1,0
1606760523,3,0
1606761123,60,56
1606761723,8,0
1606762323,1,2
1606762923,2,0
1606763523,1,4
1606764123,2,0
1606765323,2,0
1606766587,56,53
1606768381,48,58
1606768923,2,2
1606770124,66,48
1606771323,6,1
1606771923,53,64
1606772523,1,0
1606773123,0,1
1606774323,1,7
1606774924,4,2
1606775581,52,50
1606776123,0,2
1606777323,1,0
1606778523,1,0
1606779069,55,58
1606779182,0,1
1606780324,2,3
1606780924,5,0
1606782123,1,2
1606783323,1,0
1606783923,1,0
1606784523,501,66
1606785723,4,0
1606786923,3,3
1606788123,2,2
1606789323,10,0
