DateTime,AddedIPs,RemovedIPs
1606536741,14,8
1606536934,36,27
1606537447,15,72
1606537654,48,22
1606538375,35,22
1606538681,18,9
1606539094,47,30
1606539614,1,0
1606539815,59,20
1606540607,62,50
1606541254,64,33
1606541975,39,35
1606542513,17,5
1606542695,41,32
1606543414,40,35
1606544135,36,32
1606544854,46,37
1606545376,20,10
1606545574,38,24
1606546294,71,42
1606547015,38,28
1606547306,21,0
1606547735,31,37
1606548455,46,29
1606549247,54,44
1606549895,44,38
1606550404,2,0
1606550615,41,25
1606551139,18,4
1606551334,29,38
1606552111,41,1019
1606552775,48,45
1606553066,17,11
1606553494,44,36
1606554214,50,32
1606555005,40,50
1606556134,62,84
1606556931,60,65
1606557574,41,59
1606558294,141,41
1606558824,68,281
1606559015,36,52
1606559735,44,99
1606560455,45,47
1606560790,14,8
1606561174,57,34
1606561894,67,36
1606562712,68,54
1606563334,35,25
1606564054,42,41
1606564582,8,6
1606564774,36,36
1606565494,40,32
1606566215,36,39
1606566513,18,5
1606566726,15,40
1606566935,34,39
1606567655,44,39
1606568460,60,49
1606569094,41,27
1606569814,41,26
1606570346,10,9
1606570535,48,54
1606571254,38,47
1606571974,36,59
1606572271,9,6
1606572695,36,46
1606573414,40,44
1606574206,57,64
1606574854,46,44
1606575574,35,67
1606576108,6,5
1606576294,43,46
1606577014,37,41
1606577734,33,48
1606578031,7,7
1606578454,32,45
1606579174,46,40
1606579895,38,45
1606580614,27,29
1606580898,10,7
1606581395,59,158
1606582054,42,51
1606582775,41,45
1606583288,3,0
1606583494,41,38
1606583798,13,11
1606584214,39,37
1606584934,35,23
1606585759,43,62
1606586374,36,40
1606587094,28,27
1606587641,13,0
1606587814,26,29
1606588534,32,26
1606589254,31,30
1606589545,10,5
1606589974,32,56
1606590694,21,54
1606591498,61,56
1606592134,51,40
1606592854,46,31
1606593574,47,16
1606594364,40,38
1606595014,27,46
1606595734,21,32
1606596006,13,56
1606596303,7,10
1606596694,28,30
1606597415,70,25
1606598203,45,41
1606598854,28,50
1606599574,28,41
1606600101,9,5
1606600294,34,33
1606601014,30,33
1606601734,34,44
1606602036,9,8
1606602455,25,42
1606603174,24,28
1606603987,33,35
1606604614,24,32
1606605334,39,40
1606605867,22,6
1606606294,40,36
1606607014,28,33
1606607823,45,44
1606608454,54,30
1606609174,58,26
1606609704,10,5
1606609895,96,27
1606610680,81,119
1606611334,47,185
1606611664,8,13
1606612054,29,48
1606612774,41,35
1606613581,37,35
1606614214,23,24
1606614934,27,37
1606615894,43,59
1606616419,13,13
1606616614,25,44
1606617334,26,35
1606618054,27,22
1606618345,17,15
1606618774,34,32
1606619495,28,24
1606620293,47,38
1606620935,45,30
1606621654,32,25
1606622207,12,12
1606622375,36,35
1606623094,36,37
1606623814,33,38
1606624127,13,12
1606624534,39,26
1606625309,33,100
