DateTime,Entries,UniqueIPs
1605590110,5272,5272
1605592809,6029,6029
1605594611,6353,6353
1605597310,6401,6401
1605600008,6477,6477
1605602709,6631,6631
1605604508,6783,6783
1605607208,6995,6995
1605609908,7176,7176
1605612607,7065,7065
1605615306,7133,7133
1605618005,6819,6819
1605619806,6823,6823
1605622504,6431,6431
1605625205,6523,6523
1605627005,6657,6657
1605629705,7411,7411
1605632407,8029,8029
1605634204,8106,8106
1605636905,7926,7926
1605639607,7724,7724
1605641407,7937,7937
1605644105,8411,8411
1605646806,8804,8804
1605648606,8854,8854
1605651307,8746,8746
1605654006,8163,8163
1605655806,7913,7913
1605658506,7601,7601
1605661206,7804,7804
1605663007,7903,7903
1605665706,8416,8416
1605668406,8249,8249
1605670206,8090,8090
1605672906,7550,7550
1605675606,7681,7681
1605677405,7846,7846
1605680105,8203,8203
1605682805,8536,8536
1605684605,8789,8789
1605687304,9156,9156
1605690004,9524,9524
1605691805,9663,9663
1605694504,9843,9843
1605697205,9916,9916
1605699005,9899,9899
1605701705,9938,9938
1605704404,9854,9854
1605706204,10152,10152
1605708904,10167,10167
1605711605,10186,10186
1605713404,10252,10252
1605716104,10005,10005
1605718804,10049,10049
1605720604,10265,10265
1605723305,10427,10427
1605726004,10119,10119
1605727804,9913,9913
1605730503,9599,9599
1605733204,9581,9581
1605735004,9385,9385
1605737704,9134,9134
1605740405,8757,8757
1605742204,8421,8421
1605744904,8262,8262
1605747604,7897,7897
1605749405,7401,7401
1605752104,7121,7121
1605754805,6822,6822
1605756604,6777,6777
1605759305,6837,6837
1605762005,7020,7020
1605764705,7265,7265
1605766505,7423,7423
1605769204,7865,7865
1605771905,8414,8414
1605773704,8868,8868
1605776405,9254,9254
1605778204,9400,9400
1605780904,9483,9483
1605783604,9288,9288
1605785405,9216,9216
1605788104,9320,9320
1605790804,9470,9470
1605792605,9629,9629
1605795304,9270,9270
1605798005,8686,8686
1605799804,8267,8267
1605802504,8089,8089
1605805205,7759,7759
1605807005,7566,7566
1605809705,7563,7563
1605812404,7650,7650
1605815105,7188,7188
1605816904,6511,6511
1605819605,5452,5452
1605821406,5277,5277
1605824106,4822,4822
1605826806,4507,4507
1605828606,4176,4176
1605831306,4105,4105
1605834006,5049,5049
1605836706,6884,6884
1605838506,7984,7984
1605841206,8327,8327
1605843006,8394,8394
1605845705,8305,8305
1605848406,8676,8676
1605850206,9038,9038
1605852906,9469,9469
1605855606,9697,9697
1605858306,10015,10015
1605860106,10155,10155
1605862806,10199,10199
1605865506,9328,9328
1605867306,8017,8017
1605870006,6852,6852
1605872704,7053,7053
1605874505,7121,7121
1605877204,6684,6684
1605879905,6460,6460
1605881704,6187,6187
1605884405,6065,6065
1605887104,5916,5916
1605888905,5841,5841
1605891605,6087,6087
1605894304,5968,5968
1605896104,6222,6222
1605898804,7453,7453
1605901505,8303,8303
1605903304,8404,8404
1605906004,8438,8438
1605908704,8693,8693
1605910505,8628,8628
1605913205,8405,8405
1605915004,8203,8203
1605917704,8294,8294
1605920404,8166,8166
1605923104,8008,8008
1605924904,7610,7610
1605927604,7562,7562
1605929405,1798,1798
1605932104,6677,6677
1605934805,5998,5998
1605936604,3569,3569
1605939304,5657,5657
1605942004,5658,5658
1605944704,5726,5726
1605946504,6261,6261
1605949204,6621,6621
1605951905,6570,6570
1605953704,6427,6427
1605956404,6667,6667
1605959104,7297,7297
1605960904,7396,7396
1605963605,7473,7473
1605966304,7228,7228
1605968104,7019,7019
1605970804,6798,6798
1605973505,6752,6752
1605975304,6567,6567
1605978005,4397,4397
1605980706,1580,1580
1605982506,771,771
1605985208,717,717
1605987909,733,733
1605989709,1083,1083
1605992409,1424,1424
1605995112,1077,1077
1605996912,888,888
1605999614,863,863
1606002315,900,900
1606004114,1073,1073
1606006815,1200,1200
1606009515,1119,1119
1606012219,880,880
1606014920,723,723
1606017618,881,881
1606020317,1144,1144
1606023018,1584,1584
1606025719,2131,2131
1606028418,3182,3182
1606031117,2857,2857
1606032919,2923,2923
1606035619,3407,3407
1606038316,3913,3913
1606041016,4135,4135
1606043714,4374,4374
1606046416,4690,4690
1606049113,4543,4543
1606050912,4712,4712
1606053612,4941,4941
1606056312,5225,5225
1606059011,5531,5531
1606061710,5715,5715
1606064410,5667,5667
1606067108,5554,5554
1606068907,5353,5353
1606071606,5121,5121
1606074305,4946,4946
1606076105,4687,4687
1606078804,4810,4810
1606081505,4633,4633
1606083305,4658,4658
1606086004,4845,4845
1606088704,5605,5605
1606090504,6002,6002
1606093204,6241,6241
1606095906,6812,6812
1606097705,6997,6997
1606100405,7071,7071
1606103105,7047,7047
1606105805,7112,7112
1606108505,7286,7286
1606111205,7642,7642
1606113905,8197,8197
1606115705,8121,8121
1606118405,8305,8305
1606121104,8329,8329
1606122905,8538,8538
1606125606,8758,8758
1606128305,9313,9313
1606130105,9815,9815
1606132805,9875,9875
1606135505,10117,10117
1606137304,10140,10140
1606140005,9888,9888
1606142704,9689,9689
1606144504,9610,9610
1606147205,7275,7275
1606149906,4966,4966
1606151707,4506,4506
1606154407,2873,2873
1606157108,5160,5160
1606159810,6814,6814
1606162508,7492,7492
1606165210,8300,8300
1606167908,9009,9009
1606170608,9612,9612
1606173309,10162,10162
1606176007,10587,10587
1606178707,10568,10568
1606181407,10789,10789
1606184106,11100,11100
1606186806,11801,11801
1606189506,12595,12595
1606191304,13270,13270
1606194004,14099,14099
1606196705,15055,15055
1606199404,15309,15309
1606202103,12468,12468
1606204801,11567,11567
1606207501,11480,11480
1606210202,12392,12392
1606212902,13121,13121
1606215602,13142,13142
1606218302,13914,13914
1606220102,14796,14796
1606222802,15240,15240
1606225503,17184,17184
1606227302,18257,18257
1606230003,19446,19446
1606232703,19706,19706
1606234502,20327,20327
1606237203,21605,21605
1606239903,23038,23038
1606242603,23348,23348
1606245303,23423,23423
1606248003,21754,21754
1606250705,19533,19533
1606252504,19036,19036
1606255204,17304,17304
1606257905,15737,15737
1606259704,15406,15406
1606262406,8280,8280
1606265106,8331,8331
1606266906,7937,7937
1606269607,7656,7656
1606272306,7714,7714
1606275008,8532,8532
1606277708,9718,9718
1606280408,9868,9868
1606283107,9619,9619
1606284908,9208,9208
1606287607,8702,8702
1606290307,8567,8567
1606292107,8937,8937
1606294808,9078,9078
1606297508,9008,9008
1606299309,9247,9247
1606302008,9469,9469
1606304708,9240,9240
1606306508,9279,9279
1606309207,9194,9194
1606311907,8809,8809
1606313707,8269,8269
1606316407,8169,8169
1606319106,7698,7698
1606320907,7509,7509
1606323606,10940,10940
1606326307,12403,12403
1606329007,13206,13206
1606331707,14025,14025
1606334407,14441,14441
1606337107,13749,13749
1606338907,12031,12031
1606341606,9872,9872
1606344308,9718,9718
1606346107,9096,9096
1606348807,8709,8709
1606351507,8263,8263
1606353307,8337,8337
1606356007,7481,7481
1606358707,6813,6813
1606360507,6024,6024
1606363207,6894,6894
1606365909,7708,7708
1606368608,9197,9197
1606371308,9283,9283
1606374007,9341,9341
1606376708,9525,9525
1606378507,9766,9766
1606381207,10180,10180
1606383908,10397,10397
1606385707,10149,10149
1606388407,9282,9282
1606391108,9140,9140
1606392908,9078,9078
1606395607,8829,8829
1606398306,7894,7894
1606400107,7174,7174
1606402806,7525,7525
1606405505,8154,8154
1606408205,8588,8588
1606410904,8548,8548
