DateTime,Entries,UniqueIPs
1606253524,2439,2490
1606254124,2441,2492
1606254724,2434,2485
1606255924,2436,2487
1606256524,2434,2485
1606257124,2441,2491
1606257724,2446,2496
1606258324,2451,2501
1606259524,2456,2506
1606260124,2458,2508
1606261324,2467,2517
1606262525,2471,2521
1606263723,2473,2523
1606265523,2469,2519
1606266724,2466,2516
1606267924,2465,2515
1606269124,2460,2510
1606270323,2460,2510
1606271524,2458,2508
1606272124,2454,2503
1606273924,2452,2500
1606274524,2451,2499
1606275724,2449,2496
1606276324,2450,2497
1606277524,2451,2498
1606278724,2449,2496
1606280524,2451,2498
1606281124,2509,2556
1606282324,2505,2552
1606283524,2507,2553
1606284124,2509,2555
1606286524,2513,2559
1606287723,2514,2560
1606288924,2514,2560
1606290724,2515,2561
1606292524,2516,2562
1606293724,2517,2563
1606294923,2521,2567
1606296123,2518,2564
1606297324,2514,2560
1606298523,2513,2559
1606299724,2512,2558
1606300324,2511,2557
1606301524,2510,2555
1606302124,2511,2556
1606303324,2514,2559
1606308123,2514,2559
1606309324,2516,2561
1606309924,2515,2560
1606311124,2516,2561
1606311724,2518,2563
1606312924,2517,2562
1606313523,2518,2563
1606314124,2517,2562
1606316524,2512,2558
1606317723,2520,2566
1606318324,2516,2562
1606319524,2516,2562
1606320123,2517,2563
1606321323,2518,2563
1606322523,2520,2565
1606323124,2524,2569
1606324924,2525,2570
1606325523,2524,2569
1606326123,2525,2570
1606327323,2524,2569
1606328524,2525,2571
1606329724,2529,2575
1606330923,2532,2578
1606332123,2534,2580
1606333324,2531,2577
1606334524,2532,2578
1606335723,2538,2584
1606336924,2540,2586
1606337523,2547,2593
1606338123,2551,2597
1606339324,2553,2599
1606339924,2549,2594
1606341123,2551,2596
1606342323,2554,2599
1606343524,2555,2600
1606344124,2552,2596
1606344723,2554,2598
1606346523,2549,2592
1606347123,2551,2594
1606347723,2554,2597
1606348323,2551,2594
1606348924,2554,2597
1606350123,2560,2603
1606351323,2556,2600
1606352524,2553,2597
1606353123,2554,2598
1606353723,2554,2597
1606354324,2551,2594
1606355524,2552,2595
1606356124,2549,2592
1606356724,2543,2586
1606358523,2545,2588
1606359723,2547,2590
1606360924,2544,2587
1606362124,2544,2587
1606362724,2542,2585
1606363924,2543,2586
1606364524,2537,2580
1606365723,2523,2566
1606366923,2523,2566
1606368123,2528,2571
1606369324,2522,2565
1606369924,2516,2559
1606371723,2518,2561
1606372923,2517,2560
1606374724,2517,2560
1606376523,2516,2558
1606377123,2515,2557
1606377723,2513,2555
1606378923,2513,2555
1606380723,2516,2558
1606381923,2517,2559
1606382524,2552,2597
1606383724,2549,2594
1606385524,2549,2594
1606386123,2550,2595
1606387324,2548,2593
1606387924,2546,2591
1606388523,2547,2592
1606389723,2551,2596
1606390923,2552,2597
1606391523,2553,2598
1606393323,2554,2599
1606396324,2555,2600
1606396923,2556,2601
1606398124,2557,2602
1606398723,2559,2604
1606399923,2560,2605
1606401123,2561,2606
1606401723,2563,2608
1606402923,2563,2608
1606403523,2562,2607
1606404123,2561,2607
1606405923,2563,2609
1606406523,2563,2609
1606407123,2564,2611
1606407723,2559,2606
1606408923,2557,2604
1606409523,2558,2605
1606410124,2559,2606
1606411323,2558,2605
1606412524,2560,2607
1606414323,2559,2606
1606416123,2560,2607
1606416723,2559,2605
1606417924,2560,2606
1606418523,2562,2608
1606419723,2567,2613
1606420924,2565,2611
1606421523,2562,2608
1606422123,2562,2608
1606422723,2557,2603
1606423323,2536,2582
1606423923,2524,2570
1606425123,2523,2569
1606425724,2521,2567
1606426924,2519,2565
1606427523,2519,2565
1606428724,2522,2568
1606429324,2521,2567
1606430524,2516,2562
1606431723,2516,2562
1606432923,2513,2559
1606434723,2512,2558
1606435323,2511,2557
1606436523,2514,2559
