DateTime,AddedIPs,RemovedIPs
1606372923,3,3
1606373523,12,12
1606374724,13,13
1606375323,5,5
1606376523,12,12
1606377123,14,14
1606377723,8,8
1606378923,44,44
1606380123,26,26
1606380723,22,22
1606381923,65,65
1606382524,85,85
1606383724,61,61
1606384324,12,12
1606384924,19,19
1606385524,16,16
1606386123,11,11
1606387324,15,15
1606387924,13,13
1606388523,11,11
1606389123,19,19
1606389723,22,22
1606390923,15,15
1606391523,10,10
1606392724,15,15
1606393323,8,8
1606394524,14,14
1606395124,9,9
1606396324,18,18
1606396923,5,5
1606397523,3,3
1606398124,6,6
1606398723,2,2
1606399923,16,16
1606401123,18,18
1606401723,5,5
1606402923,12,13
1606403523,12,12
1606404123,10,10
1606405923,15,14
1606406523,28,29
1606407123,25,25
1606407723,8,8
1606408923,10,10
1606409523,19,19
1606410124,11,11
1606411323,16,15
1606412524,22,22
1606413124,17,17
1606413723,13,13
1606414323,35,35
1606414923,14,14
1606416123,48,48
1606416723,12,12
1606417924,70,70
1606418523,24,24
1606419723,30,30
1606420924,41,41
1606421523,32,32
1606422123,8,8
1606422723,44,44
1606423323,42,42
1606423923,17,17
1606425123,84,85
1606425724,9,9
1606426324,28,28
1606426924,6,6
1606427523,21,20
1606428724,30,30
1606429324,15,15
1606430524,14,14
1606431723,21,21
1606432324,24,24
1606432923,8,8
1606433523,16,16
1606434723,13,13
1606435323,11,11
1606436523,31,31
1606437723,68,68
1606438324,5,5
1606439523,56,56
1606440723,82,82
1606441324,39,39
1606442524,40,40
1606443124,13,14
1606443723,14,13
1606444923,42,42
1606445523,26,27
1606446724,14,13
1606447323,12,12
1606448523,12,12
1606449124,16,16
1606450324,17,17
1606450923,15,15
1606452123,19,19
1606452723,8,8
1606453924,53,53
1606454523,4,4
1606455724,24,24
1606456324,36,36
1606456923,31,31
1606458124,62,63
1606459323,32,32
1606459923,7,7
1606461123,17,17
1606461723,4,4
1606462923,7,7
1606464127,15,15
1606464723,2,2
1606465323,11,10
1606465923,5,5
1606467124,7,7
1606467723,8,8
1606468924,8,8
1606470723,11,11
1606471323,36,36
1606472523,28,28
1606473124,19,19
1606474323,25,25
1606475523,13,13
1606476123,25,25
1606477323,15,15
1606478524,12,12
1606479123,22,22
1606479723,11,11
1606480924,7,7
1606481523,3,3
1606482123,3,3
1606482723,2,2
1606483323,6,6
1606485123,8,8
1606486323,8,8
1606486923,5,5
1606488123,6,6
1606489324,10,10
1606489923,3,3
1606490523,4,4
1606491723,96,96
1606492323,3,3
1606492923,3,3
1606493523,4,4
1606494123,1,1
1606495323,28,28
1606495923,5,5
1606497123,19,19
1606497723,8,8
1606498924,15,15
1606499523,6,6
1606500123,17,17
1606500723,12,12
1606501323,9,9
1606501923,26,26
1606502523,11,11
1606503123,10,10
1606503723,7,7
1606504923,9,9
1606505523,8,8
1606506723,26,26
1606507323,15,15
1606507923,12,12
1606509124,10,10
1606509723,32,32
1606510923,15,15
1606512123,17,17
1606512724,16,16
1606513323,6,6
1606514523,16,16
1606515723,10,10
1606516324,5,5
1606516923,18,18
1606518123,31,31
1606519323,14,14
1606519924,11,11
1606520524,11,11
1606521123,7,7
1606522323,14,14
1606522924,12,12
1606523524,7,7
1606524723,11,12
1606525323,4,4
1606525923,6,6
1606527123,18,18
1606527723,7,7
1606528923,10,10
1606530124,11,11
1606531323,15,15
1606531923,20,20
1606533123,9,9
1606533723,5,5
1606534923,14,14
1606536123,14,14
1606537323,14,14
1606538523,8,8
1606539723,18,18
1606540923,32,32
1606541523,6,6
1606542124,13,12
1606543323,16,16
1606544523,18,18
1606545723,6,6
1606546923,24,24
1606548124,15,15
1606549323,25,25
1606549923,18,18
1606551123,14,14
1606551723,16,16
1606552323,9,9
1606553524,46,46
1606554124,9,9
1606554724,5,5
1606555323,9,9
1606556523,17,17
1606557123,15,15
1606558923,20,20
1606559523,8,8
1606560124,14,14
1606560723,4,4
1606561323,12,12
1606561923,7,7
1606562523,16,17
1606563723,13,12
1606564923,12,12
1606566123,15,15
1606567323,10,10
1606568523,8,9
1606569723,11,11
1606570923,6,6
1606572123,9,9
1606572723,5,5
1606573923,15,15
1606574523,13,13
1606575723,15,15
1606576323,13,13
1606577524,12,12
1606578123,10,10
1606579923,89,88
1606580524,13,13
1606581124,20,20
1606582323,33,33
1606582923,19,19
1606584123,29,29
1606585323,18,18
1606586523,37,37
1606587724,25,25
1606588323,8,8
1606588924,11,11
1606589523,8,8
1606590724,10,10
1606591323,11,11
1606591924,20,20
1606592523,12,12
1606593723,47,47
1606594924,56,56
1606596123,53,53
1606596724,20,20
1606597923,76,76
1606598524,10,10
1606599723,22,22
1606600924,24,24
1606601523,27,27
1606602124,21,21
1606603323,29,29
1606604524,75,75
1606606323,35,35
1606606923,33,33
1606608123,46,46
1606608723,23,23
1606609924,13,13
1606610523,90,90
1606611724,92,92
1606612324,47,47
1606612923,24,24
1606613523,49,49
1606614723,46,46
1606615323,28,28
1606615923,27,27
1606617123,31,31
1606617723,31,32
1606618923,41,40
1606620123,29,29
1606621323,28,28
1606621924,9,9
1606623723,46,47
1606624324,5,5
1606625523,31,31
1606626123,29,29
1606626723,14,13
1606627924,25,25
1606628523,22,22
1606629724,60,61
1606630923,54,54
1606632123,31,31
1606633323,14,14
1606634523,34,33
1606635723,13,13
1606636923,31,31
1606638123,34,35
1606638723,12,11
1606639923,22,22
1606640523,6,6
1606641723,20,20
1606642923,16,16
1606644123,23,24
1606645323,12,12
1606646523,24,24
1606647724,25,25
1606648323,2,2
1606649524,23,23
1606650123,19,19
1606651323,12,12
1606652523,17,17
1606653723,7,7
1606654324,6,6
1606654923,5,5
1606656123,10,10
1606656723,2,1
1606657323,1,1
1606659723,12,13
1606660323,6,5
1606660923,5,5
1606661523,8,8
1606662724,13,13
1606663323,6,6
1606663923,9,9
1606664523,3,3
1606665723,6,6
1606666923,36,36
1606667524,11,11
1606668123,5,5
1606669323,8,8
1606669923,4,5
1606670523,2,2
1606671123,8,8
1606672323,6,6
1606672923,9,9
1606673523,1,1
1606674123,4,4
1606674723,7,7
1606675323,5,5
1606675923,12,12
1606677124,26,27
1606677723,8,8
1606678924,20,20
1606679523,9,9
1606680123,17,17
1606680723,21,20
1606681324,7,7
1606681923,17,16
1606682523,15,15
1606683123,7,7
1606683723,11,11
1606684323,4,4
1606685523,55,55
1606686123,9,9
1606687323,29,29
1606688523,19,19
1606689124,8,8
1606689723,18,18
1606690323,5,5
1606690923,6,6
1606692123,19,19
1606693323,26,26
1606693923,16,16
1606695123,13,13
1606696323,11,11
1606696923,7,7
1606698123,14,14
1606699323,10,10
1606700523,10,10
1606701723,18,18
1606702323,24,24
1606703524,27,27
1606704123,4,4
1606704723,9,9
1606705323,12,12
1606706523,29,29
1606707723,13,13
1606708923,17,17
1606709524,21,21
1606710123,10,10
1606711323,41,41
1606711923,8,8
1606712523,14,14
1606713723,24,24
1606714923,13,13
1606716123,18,18
1606717323,12,12
1606717923,6,6
1606718523,5,5
1606719123,20,20
1606719724,15,15
1606720923,26,26
1606722123,16,16
1606723323,15,15
